IP Address,Is Public,IP Version,Is Whitelisted,Abuse Confidence Score,Country Code,Country Name,Usage Type,ISP,Domain,Hostnames,Is Tor,Total Reports,Distinct Users,Last Reported At
157.245.115.28,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,329,138,2025-11-12T12:37:14+00:00
178.128.66.56,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,006e40f51a.research-scanner.com,false,268,124,2025-11-12T12:23:04+00:00
138.68.143.86,true,4,false,100,GB,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,311,131,2025-11-12T02:19:37+00:00
157.245.125.255,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,289,122,2025-11-11T18:42:15+00:00
137.184.169.162,true,4,false,100,CA,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,333,127,2025-11-12T15:07:28+00:00
129.212.176.143,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,169,98,2025-11-12T13:37:23+00:00
142.93.2.42,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,303,123,2025-11-12T09:53:58+00:00
143.110.149.183,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,323,147,2025-11-12T08:34:24+00:00
167.99.107.57,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,5b5593d5a9.research-scanner.com,false,274,114,2025-11-12T11:32:54+00:00
143.198.30.131,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,312,120,2025-11-12T09:58:39+00:00
164.92.165.10,true,4,false,100,DE,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,284,112,2025-11-12T12:31:17+00:00
143.198.64.110,true,4,false,100,US,,Data Center/Web Hosting/Transit,"DigitalOcean, LLC",digitalocean.com,,false,293,128,2025-11-11T18:07:44+00:00
